import time: self [us] | cumulative | imported package
import time:       135 |        135 |   _io
import time:        19 |         19 |   marshal
import time:       129 |        129 |   posix
import time:       160 |        441 | _frozen_importlib_external
import time:       283 |        283 |   time
import time:        53 |        335 | zipimport
import time:        72 |         72 |     _codecs
import time:       115 |        187 |   codecs
import time:       359 |        359 |   encodings.aliases
import time:       463 |       1008 | encodings
import time:       256 |        256 | encodings.utf_8
import time:        65 |         65 | _signal
import time:        17 |         17 |     _abc
import time:        64 |         81 |   abc
import time:        81 |        161 | io
import time:        22 |         22 |       _stat
import time:        26 |         47 |     stat
import time:       374 |        374 |     _collections_abc
import time:        22 |         22 |       genericpath
import time:        28 |         50 |     posixpath
import time:       146 |        615 |   os
import time:        29 |         29 |   _sitebuiltins
import time:       211 |        211 |   encodings.utf_8_sig
import time:       192 |        192 |     __future__
import time:       276 |        276 |         warnings
import time:       138 |        414 |       importlib
import time:        28 |        441 |     importlib.machinery
import time:       255 |        255 |       importlib._abc
import time:       245 |        245 |       types
import time:        55 |        554 |     importlib.util
import time:       105 |        105 |     itertools
import time:        37 |         37 |               _operator
import time:       282 |        319 |             operator
import time:       174 |        174 |                 keyword
import time:       227 |        227 |                 reprlib
import time:        31 |         31 |                 _collections
import time:       628 |       1058 |               collections
import time:        27 |         27 |               _functools
import time:       487 |       1570 |             functools
import time:       861 |       2750 |           enum
import time:        33 |         33 |             _sre
import time:       239 |        239 |               re._constants
import time:       355 |        594 |             re._parser
import time:       237 |        237 |             re._casefix
import time:       359 |       1221 |           re._compiler
import time:       194 |        194 |           copyreg
import time:       397 |       4560 |         re
import time:       225 |       4785 |       fnmatch
import time:        31 |         31 |         _winapi
import time:        23 |         23 |         nt
import time:        20 |         20 |         nt
import time:        19 |         19 |         nt
import time:        18 |         18 |         nt
import time:        18 |         18 |         nt
import time:        18 |         18 |         nt
import time:        55 |        199 |       ntpath
import time:        26 |         26 |       errno
import time:       188 |        188 |         urllib
import time:        31 |         31 |         math
import time:       752 |        752 |         ipaddress
import time:      1150 |       2119 |       urllib.parse
import time:       517 |       7645 |     pathlib
import time:       427 |       9360 |   __editable___crystal_builder_0_2_1_finder
import time:       591 |        591 |     contextlib
import time:       234 |        825 |   _virtualenv
import time:       309 |        309 |   _distutils_hack
import time:        40 |         40 |   sitecustomize
import time:       892 |      12279 | site
import time:       522 |        522 |   xtalapp
import time:        44 |         44 |           binascii
import time:        46 |         46 |             zlib
import time:       230 |        230 |               _compression
import time:        18 |         18 |               _bz2
import time:       325 |        572 |             bz2
import time:        40 |         40 |               _lzma
import time:       285 |        324 |             lzma
import time:       491 |       1431 |           shutil
import time:        44 |         44 |             _struct
import time:       434 |        478 |           struct
import time:       248 |        248 |             _weakrefset
import time:       512 |        759 |           threading
import time:       188 |        188 |             zipfile._path.glob
import time:       354 |        541 |           zipfile._path
import time:       580 |       3831 |         zipfile
import time:       299 |        299 |         base64
import time:       656 |        656 |         textwrap
import time:       193 |        193 |           collections.abc
import time:       419 |        419 |               token
import time:        17 |         17 |               _tokenize
import time:       639 |       1074 |             tokenize
import time:       192 |       1266 |           linecache
import time:       442 |       1900 |         traceback
import time:        17 |         17 |               _bisect
import time:       193 |        210 |             bisect
import time:        15 |         15 |             _random
import time:        20 |         20 |             _sha2
import time:       362 |        605 |           random
import time:       413 |        413 |           weakref
import time:       372 |       1389 |         tempfile
import time:        20 |         20 |           _typing
import time:      1407 |       1426 |         typing
import time:       311 |        311 |           encodings.cp437
import time:        66 |         66 |           shibokensupport
import time:        58 |         58 |           shibokensupport.signature
import time:        45 |         45 |                   _ast
import time:       835 |        880 |                 ast
import time:        18 |         18 |                     _opcode
import time:       364 |        382 |                   opcode
import time:      1057 |       1439 |                 dis
import time:      1168 |       3486 |               inspect
import time:       720 |       4206 |             shibokensupport.feature
import time:      2161 |       2161 |             shibokensupport.signature.mapping
import time:       610 |        610 |             shibokensupport.signature.errorhandler
import time:        49 |         49 |                   shibokensupport.signature.lib
import time:       328 |        376 |                 shibokensupport.signature.lib.tool
import time:      4541 |       4917 |               shibokensupport.signature.parser
import time:      1344 |       6260 |             shibokensupport.signature.layout
import time:       343 |        343 |               PySide6.support
import time:       207 |        207 |               PySide6.support.deprecated
import time:       168 |        717 |             shibokensupport.signature.importhandler
import time:      1418 |       1418 |             shibokensupport.signature.lib.enum_sig
import time:       575 |        575 |                 gettext
import time:       880 |       1455 |               argparse
import time:        24 |         24 |                   _string
import time:       447 |        470 |                 string
import time:        81 |         81 |                 atexit
import time:      1008 |       1557 |               logging
import time:      6228 |       9239 |             shibokensupport.signature.lib.pyi_generator
import time:       485 |      25093 |           shibokensupport.signature.loader
import time:      3466 |      28992 |         shiboken6.Shiboken
import time:       249 |      38738 |       shiboken6
import time:       424 |      39162 |     PySide6
import time:     15570 |      54731 |   PySide6.QtCore
import time:      5617 |       5617 |   PySide6.QtGui
import time:      5414 |       5414 |   PySide6.QtWidgets
import time:        88 |         88 |           _csv
import time:       419 |        507 |         csv
import time:       216 |        216 |         email
import time:       220 |        220 |             quopri
import time:        99 |         99 |                 _socket
import time:        41 |         41 |                   select
import time:       444 |        485 |                 selectors
import time:        45 |         45 |                 array
import time:       856 |       1484 |               socket
import time:        58 |         58 |                 _datetime
import time:       178 |        235 |               datetime
import time:        42 |         42 |                     _locale
import time:      1058 |       1099 |                   locale
import time:       567 |       1666 |                 calendar
import time:       273 |       1939 |               email._parseaddr
import time:       154 |        154 |                 email.base64mime
import time:       348 |        348 |                 email.quoprimime
import time:       322 |        322 |                 email.errors
import time:       177 |        177 |                 email.encoders
import time:       262 |       1261 |               email.charset
import time:       490 |       5407 |             email.utils
import time:       475 |        475 |               email.header
import time:       338 |        813 |             email._policybase
import time:       266 |        266 |             email._encoded_words
import time:       154 |        154 |             email.iterators
import time:       487 |       7344 |           email.message
import time:       138 |        138 |             importlib.metadata._functools
import time:       184 |        321 |           importlib.metadata._text
import time:       275 |       7940 |         importlib.metadata._adapters
import time:       285 |        285 |         importlib.metadata._meta
import time:       250 |        250 |         importlib.metadata._collections
import time:       119 |        119 |         importlib.metadata._itertools
import time:       317 |        317 |               importlib.resources.abc
import time:       296 |        296 |               importlib.resources._adapters
import time:       343 |        955 |             importlib.resources._common
import time:       192 |        192 |             importlib.resources._legacy
import time:       182 |       1329 |           importlib.resources
import time:       349 |       1677 |         importlib.abc
