import time: self [us] | cumulative | imported package
import time:       233 |        233 |   _io
import time:        21 |         21 |   marshal
import time:       270 |        270 |   posix
import time:       890 |       1412 | _frozen_importlib_external
import time:      3171 |       3171 |   time
import time:       183 |       3353 | zipimport
import time:        90 |         90 |     _codecs
import time:       203 |        293 |   codecs
import time:       998 |        998 |   encodings.aliases
import time:      1584 |       2875 | encodings
import time:       546 |        546 | encodings.utf_8
import time:       113 |        113 | _signal
import time:        21 |         21 |     _abc
import time:        78 |         99 |   abc
import time:       222 |        320 | io
import time:        26 |         26 |       _stat
import time:        31 |         57 |     stat
import time:      1245 |       1245 |     _collections_abc
import time:        55 |         55 |       genericpath
import time:        52 |        107 |     posixpath
import time:       209 |       1616 |   os
import time:        38 |         38 |   _sitebuiltins
import time:       124 |        124 |   encodings.utf_8_sig
import time:       174 |        174 |     __future__
import time:       279 |        279 |         warnings
import time:       177 |        456 |       importlib
import time:        44 |        499 |     importlib.machinery
import time:       142 |        142 |       importlib._abc
import time:       146 |        146 |       types
import time:        78 |        366 |     importlib.util
import time:       124 |        124 |     itertools
import time:        39 |         39 |               _operator
import time:       234 |        272 |             operator
import time:        62 |         62 |                 keyword
import time:        93 |         93 |                 reprlib
import time:        33 |         33 |                 _collections
import time:       429 |        615 |               collections
import time:        39 |         39 |               _functools
import time:       368 |       1022 |             functools
import time:       994 |       2286 |           enum
import time:        34 |         34 |             _sre
import time:       144 |        144 |               re._constants
import time:       208 |        352 |             re._parser
import time:       126 |        126 |             re._casefix
import time:       215 |        726 |           re._compiler
import time:        89 |         89 |           copyreg
import time:       283 |       3384 |         re
import time:       159 |       3542 |       fnmatch
import time:        31 |         31 |         _winapi
import time:        24 |         24 |         nt
import time:        20 |         20 |         nt
import time:        63 |         63 |         nt
import time:        24 |         24 |         nt
import time:        21 |         21 |         nt
import time:        19 |         19 |         nt
import time:        63 |        261 |       ntpath
import time:        92 |         92 |       errno
import time:       118 |        118 |         urllib
import time:        33 |         33 |         math
import time:       720 |        720 |         ipaddress
import time:      1192 |       2062 |       urllib.parse
import time:       516 |       6471 |     pathlib
import time:       514 |       8146 |   __editable___crystal_builder_0_2_1_finder
import time:       314 |        314 |     contextlib
import time:       106 |        420 |   _virtualenv
import time:       148 |        148 |   _distutils_hack
import time:        41 |         41 |   sitecustomize
import time:      1064 |      11595 | site
import time:       112 |        112 |   xtalapp
import time:        87 |         87 |       collections.abc
import time:        93 |         93 |           token
import time:        20 |         20 |           _tokenize
import time:       477 |        589 |         tokenize
import time:        83 |        672 |       linecache
import time:       506 |        506 |       textwrap
import time:       395 |       1659 |     traceback
import time:       141 |        141 |       _weakrefset
import time:       543 |        683 |     weakref
import time:        21 |         21 |       _string
import time:       328 |        349 |     string
import time:       375 |        375 |     threading
import time:        24 |         24 |     atexit
import time:       999 |       4086 |   logging
import time:       155 |       4352 | xtalapp.main
