t_s rss_mb swap_used_mb
0.0 183.1 5690
1.0 158.6 5690
2.0 226.9 5690
3.0 247.3 5690
4.0 270.1 5690
5.0 304.5 5690
6.0 301.8 5690
7.1 309.7 5690
8.1 293.9 5690
9.1 344.6 5690
10.1 338.4 5690
11.1 344.4 5690
12.1 354.8 5682
13.1 383.6 5682
14.1 337.3 5682
15.1 353.3 5682
16.1 378.6 5682
17.1 370.9 5682
18.1 348.1 5682
19.1 335.7 5682
20.2 267.1 5682
21.2 387.2 5682
22.2 384.2 5682
23.2 360.2 5682
24.2 214.8 5682
25.2 214.2 5682
26.2 219.7 5682
27.2 226.1 5682
28.2 231.2 5682
29.2 224.4 5682
30.2 224.7 5682
31.2 365.0 5682
32.2 376.7 5682
33.3 359.2 5634
34.3 214.9 5629
35.3 355.6 5709
36.3 347.8 5621
37.3 398.7 5621
38.3 324.2 5621
39.3 328.6 5621
40.3 239.0 5621
41.3 199.3 5594
42.4 216.2 5619
43.4 405.2 5619
44.4 396.3 5624
45.4 438.3 5657
