# EQeq ionisation table -- written by scripts/eqeq_table.py; do not edit.
# Ionisation energies: NIST Atomic Spectra Database, ionisation-energy
#   export (Kramida, Ralchenko, Reader and NIST ASD Team), eV.
# Electron affinities: PubChem periodic table (NCBI), eV; blank where
#   the anion is not bound.
# IEn is the energy to go from charge n-1 to charge n.
Z,symbol,EA,IE1,IE2,IE3,IE4,IE5,IE6,IE7,IE8
1,H,0.754,13.598434599702,,,,,,,
2,He,,24.587389011,54.4177655282,,,,,,
3,Li,0.618,5.391714996,75.6400970,122.45435913,,,,,
4,Be,,9.322699,18.21115,153.896205,217.71858459,,,,
5,B,0.277,8.298019,25.15483,37.93059,259.374379,340.2260225,,,
6,C,1.263,11.2602880,24.383143,47.88778,64.49352,392.09056,489.99320779,,
7,N,,14.53413,29.60125,47.4453,77.4735,97.8901,552.06741,667.0461377,
8,O,1.461,13.618055,35.12112,54.93554,77.41350,113.8990,138.1189,739.32697,871.4099138
9,F,3.339,17.42282,34.97081,62.70798,87.175,114.249,157.16311,185.1868,953.8983
10,Ne,,21.564541,40.96297,63.4233,97.1900,126.247,157.934,207.271,239.0970
11,Na,0.548,5.13907696,47.28636,71.6200,98.936,138.404,172.23,208.504,264.192
12,Mg,,7.646236,15.035271,80.1436,109.2654,141.33,186.76,225.02,265.924
13,Al,0.441,5.985769,18.82855,28.447642,119.9924,153.8252,190.49,241.76,284.64
14,Si,1.385,8.15168,16.34585,33.49300,45.14179,166.767,205.279,246.57,303.59
15,P,0.746,10.486686,19.76949,30.20264,51.44387,65.02511,220.430,263.57,309.60
16,S,2.077,10.3600167,23.33788,34.86,47.222,72.5945,88.0529,280.954,328.794
17,Cl,3.617,12.967633,23.81364,39.80,53.24,67.68,96.94,114.2013,348.306
18,Ar,,15.7596119,27.62967,40.735,59.58,74.84,91.290,124.41,143.4567
19,K,0.501,4.34066373,31.62500,45.8031,60.917,82.66,99.44,117.56,154.87
20,Ca,,6.1131549210,11.871719,50.91316,67.2732,84.34,108.78,127.21,147.24
21,Sc,0.188,6.56149,12.79977,24.756839,73.4894,91.95,110.68,137.99,158.08
22,Ti,0.079,6.828120,13.5755,27.49171,43.26717,99.299,119.533,140.68,170.5
23,V,0.525,6.746187,14.634,29.3111,46.709,65.28165,128.125,150.72,173.55
24,Cr,0.666,6.76651,16.486305,30.959,49.16,69.46,90.6349,160.29,184.76
25,Mn,,7.4340380,15.63999,33.668,51.21,72.41,95.604,119.203,195.5
26,Fe,0.163,7.9024681,16.19921,30.651,54.91,75.00,98.985,124.9671,151.060
27,Co,0.661,7.88101,17.0844,33.50,51.27,79.50,102.00,128.9,157.8
28,Ni,1.156,7.639878,18.168838,35.187,54.92,76.06,108.0,132.0,162.0
29,Cu,1.228,7.726380,20.29239,36.841,57.38,79.8,103.0,139.0,166.0
30,Zn,,9.394197,17.96439,39.72330,59.573,82.6,108.0,133.9,173.9
31,Ga,0.3,5.9993020,20.51514,30.72576,63.241,86.01,112.7,140.8,169.9
32,Ge,1.35,7.899435,15.934610,34.0576,45.7155,90.500,115.90,144.9,176.4
33,As,0.81,9.78855,18.5892,28.349,50.15,62.77,121.19,147.0,180.0
34,Se,2.021,9.752368,21.196,31.697,42.947,68.30,81.83,155.327,184.0
35,Br,3.365,11.81381,21.591,34.871,47.782,59.595,87.390,103.03,192.61
36,Kr,,13.9996055,24.35984,35.838,50.85,64.69,78.49,109.13,125.802
37,Rb,0.468,4.1771281,27.28954,39.247,52.20,68.44,82.9,98.67,132.79
38,Sr,,5.69486745,11.0302765,42.88353,56.280,70.7,88.0,104.0,121.21
39,Y,0.307,6.21726,12.2236,20.52441,60.6072,75.35,91.390,110.02,128.12
40,Zr,0.426,6.634126,13.13,23.170,34.41836,80.348,96.38,112.0,133.7
41,Nb,0.893,6.75885,14.32,25.04,37.611,50.5728,102.069,119.1,136.0
42,Mo,0.746,7.09243,16.16,27.13,40.33,54.417,68.82704,125.638,143.6
43,Tc,0.55,7.11938,15.26,29.55,41.0,57.0,72.0,88.0,150.0
44,Ru,1.05,7.36050,16.76,28.47,45.0,59.0,76.0,93.0,110.0
45,Rh,1.137,7.45890,18.08,31.06,42.0,63.0,80.0,97.0,115.1
46,Pd,0.557,8.336839,19.43,32.93,46.0,61.0,84.1,101.0,120.0
47,Ag,1.302,7.576234,21.4844,34.8,49.0,65.0,82.0,106.0,125.0
48,Cd,,8.993820,16.908313,37.468,51.0,67.9,87.0,105.0,130.1
49,In,0.3,5.7863558,18.87041,28.04415,55.45,69.3,90.0,109.0,130.1
50,Sn,1.2,7.343918,14.63307,30.506,40.74,77.03,94.0,112.9,135.0
51,Sb,1.07,8.608389,16.626,25.3235,43.804,55.00,99.51,117.0,139.0
52,Te,1.971,9.009808,18.6,27.84,37.4155,59.3,69.1,124.20,143.0
53,I,3.059,10.451236,19.13126,29.570,40.357,51.52,74.4,87.61,150.81
54,Xe,,12.1298437,20.975,31.05,42.20,54.1,66.703,91.6,105.9778
55,Cs,0.472,3.89390572743,23.15745,33.195,43.0,56.0,69.1,82.9,110.1
56,Ba,,5.2116646,10.003826,35.8438,47.0,58.0,71.0,86.0,101.0
57,La,0.5,5.5769,11.18496,19.1773,49.95,61.6,74.0,88.0,105.0
58,Ce,0.5,5.5386,10.956,20.1974,36.906,65.55,77.6,91.0,106.0
59,Pr,,5.4702,10.631,21.6237,38.981,57.53,82,97,112
60,Nd,,5.52475,10.783,22.09,40.60,60.0,84,99,114
61,Pm,,5.58187,10.938,22.44,41.17,61.7,85,101,116
62,Sm,,5.643722,11.078,23.55,41.64,62.7,87,103,118
63,Eu,,5.670385,11.240,24.84,42.94,63.2,89,105,120
64,Gd,,6.14980,12.076,20.54,44.44,64.8,89,106,123
65,Tb,,5.8638,11.513,21.82,39.33,66.5,90,108,125
66,Dy,,5.939061,11.647,22.89,41.23,62.1,93,110,127
67,Ho,,6.0215,11.781,22.79,42.52,63.9,95,112,129
68,Er,,6.1077,11.916,22.70,42.42,65.1,96,114,131
69,Tm,,6.184402,12.065,23.66,42.41,65.4,98,116,133
70,Yb,,6.254160,12.179185,25.053,43.61,65.6,99,117,135
71,Lu,,5.425871,14.13,20.9594,45.249,66.8,98,117,136
72,Hf,,6.825070,14.61,22.55,33.370,68.37,98,118,137
73,Ta,0.322,7.549571,16.2,23.1,35.0,48.272,94.01,119,139
74,W,0.815,7.86403,16.37,26.0,38.2,51.6,64.77,122.01,141.2
75,Re,0.15,7.83352,16.6,27.0,39.1,51.9,67.0,82.71,144.4
76,Os,1.1,8.43823,17.0,25.0,41.0,55.0,70.1,85.1,102.02
77,Ir,1.565,8.96702,17.0,28.0,40.0,57.0,72.0,89.0,105.0
78,Pt,2.128,8.95883,18.56,29.0,43.0,56.0,75.0,91.0,109.0
79,Au,2.309,9.225554,20.203,30.0,45.0,60.0,74.0,94.0,112.0
80,Hg,,10.437504,18.75688,34.49,48.55,61.20,76.6,93.0,113.9
81,Tl,0.2,6.1082873,20.4283,29.8520,51.14,62.6,80.0,97.9,116.0
82,Pb,0.36,7.4166799,15.032499,31.9373,42.33256,68.8,82.9,100.1,120.0
83,Bi,0.946,7.285516,16.703,25.57075,45.37,54.856,88.4,103.0,122.0
84,Po,1.9,8.418070,19.3,27.3,36.0,57.0,69.1,108.0,125.0
85,At,2.8,9.31751,17.880,26.58,39.65,50.39,72.0,85.1,130.1
86,Rn,,10.74850,18.99,29.4,36.9,52.9,64.0,88.0,102.0
87,Fr,0.47,4.0727411,22.4,33.5,39.1,50.0,67.0,80.0,106.0
88,Ra,,5.2784239,10.14718,31.0,41.0,52.9,64.0,82.0,97.0
89,Ac,,5.380235,11.75,17.436,44.8,55.0,67.0,79.0,98.9
90,Th,,6.30670,12.10,18.32,28.648,58.0,69.1,82.0,95.0
91,Pa,,5.89,11.9,18.6,30.9,44.3,72.0,85.1,98.9
92,U,,6.19405,11.6,19.8,36.7,46.0,62.0,89.0,101.0
93,Np,,6.265608,11.5,19.7,33.8,48.0,65.0,92,107
94,Pu,,6.02576,11.5,21.1,35.0,49.0,80,95,109
